Well,Channel,Volume(ul)
A1,C,0.0
A1,M,0.319
A1,Y,0.996
A1,K,0.685
A2,C,0.0
A2,M,0.327
A2,Y,1.047
A2,K,0.626
A3,C,0.0
A3,M,0.352
A3,Y,1.1
A3,K,0.548
A4,C,0.0
A4,M,0.382
A4,Y,1.123
A4,K,0.495
A5,C,0.0
A5,M,0.38
A5,Y,1.161
A5,K,0.459
A6,C,0.0
A6,M,0.41
A6,Y,1.229
A6,K,0.361
A7,C,0.0
A7,M,0.406
A7,Y,1.217
A7,K,0.377
A8,C,0.0
A8,M,0.406
A8,Y,1.218
A8,K,0.376
A9,C,0.0
A9,M,0.41
A9,Y,1.21
A9,K,0.38
A10,C,0.0
A10,M,0.407
A10,Y,1.199
A10,K,0.395
A11,C,0.0
A11,M,0.422
A11,Y,1.225
A11,K,0.353
A12,C,0.0
A12,M,0.438
A12,Y,1.271
A12,K,0.29
A13,C,0.0
A13,M,0.423
A13,Y,1.293
A13,K,0.284
A14,C,0.0
A14,M,0.45
A14,Y,1.279
A14,K,0.271
A15,C,0.0
A15,M,0.442
A15,Y,1.3
A15,K,0.258
A16,C,0.0
A16,M,0.449
A16,Y,1.321
A16,K,0.229
A17,C,0.0
A17,M,0.438
A17,Y,1.314
A17,K,0.248
A18,C,0.0
A18,M,0.444
A18,Y,1.305
A18,K,0.251
A19,C,0.0
A19,M,0.452
A19,Y,1.306
A19,K,0.241
A20,C,0.0
A20,M,0.45
A20,Y,1.301
A20,K,0.249
A21,C,0.0
A21,M,0.45
A21,Y,1.301
A21,K,0.249
A22,C,0.0
A22,M,0.47
A22,Y,1.361
A22,K,0.168
A23,C,0.0
A23,M,0.437
A23,Y,1.363
A23,K,0.199
A24,C,0.0
A24,M,0.436
A24,Y,1.332
A24,K,0.233
A25,C,0.0
A25,M,0.437
A25,Y,1.363
A25,K,0.199
A26,C,0.0
A26,M,0.439
A26,Y,1.4
A26,K,0.161
A27,C,0.0
A27,M,0.427
A27,Y,1.416
A27,K,0.157
A28,C,0.0
A28,M,0.437
A28,Y,1.388
A28,K,0.175
A29,C,0.0
A29,M,0.437
A29,Y,1.388
A29,K,0.175
A30,C,0.0
A30,M,0.429
A30,Y,1.431
A30,K,0.14
A31,C,0.0
A31,M,0.401
A31,Y,1.404
A31,K,0.195
A32,C,0.0
A32,M,0.401
A32,Y,1.404
A32,K,0.195
A33,C,0.0
A33,M,0.443
A33,Y,1.355
A33,K,0.202
A34,C,0.0
A34,M,0.418
A34,Y,1.393
A34,K,0.19
A35,C,0.0
A35,M,0.433
A35,Y,1.408
A35,K,0.159
A36,C,0.0
A36,M,0.451
A36,Y,1.402
A36,K,0.147
A37,C,0.0
A37,M,0.439
A37,Y,1.4
A37,K,0.161
A38,C,0.0
A38,M,0.429
A38,Y,1.403
A38,K,0.168
A39,C,0.0
A39,M,0.423
A39,Y,1.411
A39,K,0.165
A40,C,0.0
A40,M,0.442
A40,Y,1.405
A40,K,0.152
A41,C,0.0
A41,M,0.454
A41,Y,1.361
A41,K,0.185
A42,C,0.0
A42,M,0.449
A42,Y,1.372
A42,K,0.18
A43,C,0.0
A43,M,0.443
A43,Y,1.38
A43,K,0.177
A44,C,0.0
A44,M,0.459
A44,Y,1.353
A44,K,0.187
A45,C,0.0
A45,M,0.465
A45,Y,1.346
A45,K,0.19
A46,C,0.0
A46,M,0.449
A46,Y,1.372
A46,K,0.18
A47,C,0.0
A47,M,0.471
A47,Y,1.337
A47,K,0.192
A48,C,0.0
A48,M,0.466
A48,Y,1.292
A48,K,0.242
B1,C,0.0
B1,M,0.337
B1,Y,1.05
B1,K,0.613
B2,C,0.0
B2,M,0.342
B2,Y,1.091
B2,K,0.566
B3,C,0.0
B3,M,0.347
B3,Y,1.129
B3,K,0.524
B4,C,0.0
B4,M,0.379
B4,Y,1.137
B4,K,0.485
B5,C,0.0
B5,M,0.418
B5,Y,1.254
B5,K,0.328
B6,C,0.0
B6,M,0.431
B6,Y,1.294
B6,K,0.274
B7,C,0.0
B7,M,0.436
B7,Y,1.261
B7,K,0.303
B8,C,0.0
B8,M,0.418
B8,Y,1.254
B8,K,0.328
B9,C,0.0
B9,M,0.423
B9,Y,1.224
B9,K,0.353
B10,C,0.0
B10,M,0.432
B10,Y,1.227
B10,K,0.341
B11,C,0.0
B11,M,0.445
B11,Y,1.288
B11,K,0.268
B12,C,0.0
B12,M,0.442
B12,Y,1.3
B12,K,0.258
B13,C,0.0
B13,M,0.44
B13,Y,1.321
B13,K,0.239
B14,C,0.0
B14,M,0.434
B14,Y,1.33
B14,K,0.236
B15,C,0.0
B15,M,0.463
B15,Y,1.338
B15,K,0.199
B16,C,0.0
B16,M,0.439
B16,Y,1.427
B16,K,0.134
B17,C,0.0
B17,M,0.462
B17,Y,1.412
B17,K,0.126
B18,C,0.0
B18,M,0.445
B18,Y,1.446
B18,K,0.109
B19,C,0.0
B19,M,0.448
B19,Y,1.423
B19,K,0.129
B20,C,0.0
B20,M,0.46
B20,Y,1.407
B20,K,0.133
B21,C,0.0
B21,M,0.429
B21,Y,1.431
B21,K,0.14
B22,C,0.0
B22,M,0.429
B22,Y,1.431
B22,K,0.14
B23,C,0.0
B23,M,0.417
B23,Y,1.419
B23,K,0.163
B24,C,0.0
B24,M,0.426
B24,Y,1.379
B24,K,0.194
B25,C,0.0
B25,M,0.417
B25,Y,1.419
B25,K,0.163
B26,C,0.0
B26,M,0.406
B26,Y,1.451
B26,K,0.142
B27,C,0.0
B27,M,0.401
B27,Y,1.459
B27,K,0.14
B28,C,0.0
B28,M,0.417
B28,Y,1.446
B28,K,0.136
B29,C,0.0
B29,M,0.395
B29,Y,1.467
B29,K,0.138
B30,C,0.0
B30,M,0.383
B30,Y,1.444
B30,K,0.173
B31,C,0.0
B31,M,0.376
B31,Y,1.471
B31,K,0.153
B32,C,0.0
B32,M,0.389
B32,Y,1.436
B32,K,0.175
B33,C,0.0
B33,M,0.433
B33,Y,1.408
B33,K,0.159
B34,C,0.0
B34,M,0.4
B34,Y,1.487
B34,K,0.113
B35,C,0.0
B35,M,0.427
B35,Y,1.442
B35,K,0.131
B36,C,0.0
B36,M,0.437
B36,Y,1.413
B36,K,0.15
B37,C,0.0
B37,M,0.389
B37,Y,1.465
B37,K,0.147
B38,C,0.0
B38,M,0.407
B38,Y,1.47
B38,K,0.123
B39,C,0.0
B39,M,0.4
B39,Y,1.478
B39,K,0.121
B40,C,0.0
B40,M,0.383
B40,Y,1.473
B40,K,0.144
B41,C,0.0
B41,M,0.427
B41,Y,1.416
B41,K,0.157
B42,C,0.0
B42,M,0.445
B42,Y,1.419
B42,K,0.136
B43,C,0.0
B43,M,0.428
B43,Y,1.39
B43,K,0.182
B44,C,0.0
B44,M,0.465
B44,Y,1.369
B44,K,0.166
B45,C,0.0
B45,M,0.465
B45,Y,1.369
B45,K,0.166
B46,C,0.0
B46,M,0.417
B46,Y,1.419
B46,K,0.163
B47,C,0.0
B47,M,0.442
B47,Y,1.405
B47,K,0.152
B48,C,0.0
B48,M,0.477
B48,Y,1.305
B48,K,0.218
C1,C,0.0
C1,M,0.338
C1,Y,1.075
C1,K,0.587
C2,C,0.0
C2,M,0.377
C2,Y,1.151
C2,K,0.472
C3,C,0.0
C3,M,0.259
C3,Y,0.87
C3,K,0.871
C4,C,0.0
C4,M,0.033
C4,Y,0.397
C4,K,1.57
C5,C,0.0
C5,M,0.358
C5,Y,1.15
C5,K,0.492
C6,C,0.0
C6,M,0.439
C6,Y,1.318
C6,K,0.243
C7,C,0.0
C7,M,0.414
C7,Y,1.242
C7,K,0.344
C8,C,0.0
C8,M,0.423
C8,Y,1.245
C8,K,0.332
C9,C,0.0
C9,M,0.418
C9,Y,1.233
C9,K,0.349
C10,C,0.0
C10,M,0.426
C10,Y,1.236
C10,K,0.338
C11,C,0.0
C11,M,0.443
C11,Y,1.284
C11,K,0.273
C12,C,0.0
C12,M,0.46
C12,Y,1.33
C12,K,0.21
C13,C,0.0
C13,M,0.46
C13,Y,1.407
C13,K,0.133
C14,C,0.0
C14,M,0.465
C14,Y,1.369
C14,K,0.166
C15,C,0.0
C15,M,0.413
C15,Y,1.316
C15,K,0.272
C16,C,0.0
C16,M,0.403
C16,Y,1.286
C16,K,0.311
C17,C,0.0
C17,M,0.387
C17,Y,1.187
C17,K,0.426
C18,C,0.0
C18,M,0.313
C18,Y,1.219
C18,K,0.469
C19,C,0.0
C19,M,0.398
C19,Y,1.278
C19,K,0.325
C20,C,0.0
C20,M,0.427
C20,Y,1.416
C20,K,0.157
C21,C,0.0
C21,M,0.431
C21,Y,1.47
C21,K,0.1
C22,C,0.0
C22,M,0.45
C22,Y,1.451
C22,K,0.099
C23,C,0.0
C23,M,0.437
C23,Y,1.388
C23,K,0.175
C24,C,0.0
C24,M,0.435
C24,Y,1.378
C24,K,0.187
C25,C,0.0
C25,M,0.416
C25,Y,1.431
C25,K,0.152
C26,C,0.0
C26,M,0.422
C26,Y,1.449
C26,K,0.129
C27,C,0.0
C27,M,0.442
C27,Y,1.43
C27,K,0.127
C28,C,0.0
C28,M,0.422
C28,Y,1.449
C28,K,0.129
C29,C,0.0
C29,M,0.416
C29,Y,1.456
C29,K,0.127
C30,C,0.0
C30,M,0.427
C30,Y,1.442
C30,K,0.131
C31,C,0.0
C31,M,0.395
C31,Y,1.467
C31,K,0.138
C32,C,0.0
C32,M,0.395
C32,Y,1.467
C32,K,0.138
C33,C,0.0
C33,M,0.395
C33,Y,1.439
C33,K,0.165
C34,C,0.0
C34,M,0.341
C34,Y,1.491
C34,K,0.168
C35,C,0.0
C35,M,0.319
C35,Y,1.502
C35,K,0.179
C36,C,0.0
C36,M,0.427
C36,Y,1.416
C36,K,0.157
C37,C,0.0
C37,M,0.44
C37,Y,1.417
C37,K,0.143
C38,C,0.0
C38,M,0.4
C38,Y,1.487
C38,K,0.113
C39,C,0.0
C39,M,0.417
C39,Y,1.474
C39,K,0.109
