,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,14.377,3.722,4.71,0.0,0.0,33.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.415,0.0,0.0,0.0,0.0,0.0,16.843,0.0,0.0,33.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.465,0.0,0.0,0.0,0.0,0.0,33.421,0.0,0.0,33.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,11.972,31.854,0.0,0.0,0.0,0.0,0.0,33.465,0.0,0.0,0.0,33.509,0.0,16.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,8.961,30.641,0.0,0.0,0.0,0.0,0.0,33.509,0.0,0.0,0.0,23.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,10.89,30.326,0.0,0.0,0.0,0.0,0.0,33.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,11.097,30.213,0.0,0.0,0.0,0.0,0.0,33.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,3.401,15.058,0.0,0.0,0.0,0.0,0.0,25.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,43.449,0.0,0.0,0.0,0.0,0.0,15.77,0.0,0.0,37.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.932,0.0,0.0,0.0,0.0
N,0.0,0.0,54.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,54.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,29.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
