,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,40.0,30.474,25.738,22.88,22.287,22.287,22.287,22.287,22.287,21.804,20.066,19.868,20.268,22.287,22.287,22.287,22.287,22.043,22.043,22.043,20.343,21.518,30.027,35.869
B,27.31,26.764,34.742,35.668,36.739,36.739,36.739,36.739,35.579,29.553,11.042,10.399,13.957,36.149,36.739,36.739,36.739,36.739,36.757,36.106,33.36,29.872,18.882,26.551
C,18.75,28.871,25.499,40.0,35.975,35.906,35.906,36.849,31.127,19.781,4.273,3.441,6.78,33.346,35.906,35.906,35.906,35.906,37.843,37.761,38.533,7.95,28.611,19.226
D,18.989,28.627,30.717,37.941,38.583,40.0,40.0,34.877,32.429,18.137,4.844,4.089,7.104,35.819,40.0,38.544,34.07,34.07,34.998,40.0,26.597,35.899,29.663,19.882
E,18.344,28.704,28.409,38.999,40.0,40.0,40.0,40.0,37.917,27.133,0.0,0.0,3.839,38.931,38.912,34.341,21.107,20.8,24.34,38.912,39.014,40.0,29.982,18.926
F,18.39,28.696,27.384,39.284,40.0,40.0,39.253,39.253,38.533,39.258,34.188,34.188,35.329,39.253,34.749,26.719,0.0,0.0,6.283,35.296,40.0,33.362,29.884,18.926
G,18.481,28.641,29.241,39.069,40.0,37.596,32.47,32.47,35.465,40.0,36.919,36.919,36.919,38.398,27.726,22.105,0.0,0.0,7.226,28.81,37.097,33.94,29.565,19.055
H,18.39,28.696,32.511,40.0,37.839,29.607,15.24,14.734,22.369,36.523,38.533,40.0,40.0,40.0,40.0,39.253,37.103,37.103,37.805,40.0,39.298,34.806,29.884,18.926
I,18.481,28.627,30.281,38.301,30.224,18.829,10.302,10.207,14.086,28.625,38.718,40.0,40.0,40.0,40.0,37.458,35.219,35.219,35.219,40.0,37.354,33.266,29.472,19.055
J,18.481,28.627,30.281,40.0,30.224,19.012,10.399,10.345,14.301,29.319,38.718,40.0,40.0,40.0,40.0,40.0,38.718,38.718,38.718,40.0,37.499,33.266,29.472,19.055
K,18.436,28.654,30.503,40.0,35.647,23.931,11.993,11.828,17.351,34.058,39.314,38.651,38.651,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.234,33.443,29.653,19.012
L,18.344,28.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.07,18.882
M,18.655,28.941,30.805,39.258,40.0,40.0,40.0,40.0,39.337,34.21,12.542,6.389,6.824,23.648,34.21,38.696,40.0,40.0,40.0,40.0,39.275,34.805,29.695,19.802
N,18.571,27.763,0.0,38.083,37.263,37.397,37.397,37.332,35.219,27.312,10.631,5.568,5.972,18.427,26.662,35.219,37.332,37.332,37.332,37.57,40.0,33.096,29.609,19.352
O,27.381,18.969,30.194,30.258,37.14,37.332,37.297,37.297,37.297,35.689,19.821,13.553,14.292,29.612,35.689,37.297,37.297,37.297,37.297,35.633,36.685,35.928,29.032,25.003
P,31.794,29.368,19.548,19.738,22.537,22.625,22.625,22.625,22.625,22.625,20.774,19.851,19.851,21.893,22.625,22.625,22.625,22.625,22.625,22.625,22.88,25.001,29.05,32.281
