,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.0,9.526,14.262,17.12,17.713,17.713,17.713,17.713,17.713,17.329,16.346,16.185,16.511,17.713,17.713,17.713,17.713,17.957,17.957,17.957,19.657,18.482,9.973,4.131
B,12.69,12.809,5.258,4.332,3.261,3.261,3.261,3.261,3.158,6.598,14.794,15.109,13.542,3.209,3.261,3.261,3.261,3.261,3.243,3.894,6.64,10.128,21.118,13.449
C,21.25,11.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.301,17.054,17.498,15.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.389,20.774
D,21.011,11.373,0.0,2.059,1.417,0.0,0.0,2.562,0.0,10.511,16.892,17.294,15.78,0.0,0.0,0.0,1.186,1.186,1.251,0.0,13.403,0.0,10.337,20.118
E,21.656,11.296,0.0,1.001,0.0,0.0,0.0,0.0,0.0,6.005,19.111,19.111,17.338,0.0,0.0,2.83,8.856,9.309,7.489,0.0,0.986,0.0,10.018,21.074
F,21.61,11.304,0.0,0.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625,1.207,0.0,0.0,2.374,2.016,0.0,0.0,10.116,21.074
G,21.519,11.359,0.0,0.931,0.0,1.602,4.792,4.792,3.023,0.0,1.54,1.54,1.54,0.0,5.845,1.074,1.302,0.19,2.3,5.301,0.968,0.0,10.435,20.945
H,21.61,11.304,0.0,0.0,1.441,0.0,0.0,0.0,0.0,2.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702,0.0,10.116,21.074
I,21.519,11.373,0.0,0.0,6.843,0.0,0.0,0.0,0.0,7.584,0.0,0.0,0.0,0.0,0.0,1.271,2.39,2.39,2.39,0.0,2.646,0.0,10.528,20.945
J,21.519,11.373,0.0,0.0,6.843,0.0,0.0,0.0,0.0,6.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501,0.0,10.528,20.945
K,21.564,11.346,0.0,0.0,3.11,0.0,0.0,0.0,0.0,3.565,0.0,0.674,0.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766,0.0,10.347,20.988
L,21.656,11.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93,21.118
M,21.345,11.059,0.0,0.742,0.0,0.0,0.0,0.0,0.0,1.737,7.942,9.656,9.559,4.831,2.316,0.652,0.0,0.0,0.0,0.0,0.725,0.0,10.305,20.198
N,21.429,12.237,0.0,0.0,0.0,0.0,0.0,0.0,1.195,3.904,8.367,9.819,9.703,6.012,4.764,1.195,0.0,0.0,0.0,0.0,0.0,0.0,10.391,20.648
O,12.619,21.031,9.806,9.742,2.86,2.668,2.703,2.703,2.703,3.449,7.399,9.016,8.569,4.794,3.449,2.703,2.703,2.703,2.703,3.493,3.315,4.072,10.968,14.997
P,8.206,10.632,20.452,20.262,17.463,17.375,17.375,17.375,17.375,17.375,17.181,17.049,17.049,17.244,17.375,17.375,17.375,17.375,17.375,17.375,17.12,14.999,10.95,7.719
