,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,21.009,21.996,24.583,24.829,24.156,25.22,26.606,26.772,26.944,27.703,28.256,27.267,28.181,28.32,28.703,28.629,28.32,28.474,28.612,28.772,27.743,27.225,27.761,26.764
B,22.591,14.94,22.777,25.513,24.72,26.468,24.92,23.872,24.457,20.677,27.164,29.254,28.703,29.027,29.567,29.297,29.811,29.055,28.985,29.322,29.027,27.408,27.786,26.934
C,21.288,14.71,21.472,25.314,22.049,22.13,23.232,34.552,11.369,6.123,8.015,19.614,28.677,28.804,29.395,29.466,30.382,29.146,28.36,27.628,27.438,26.426,26.261,25.453
D,17.402,11.551,18.832,21.165,19.421,26.476,4.446,0.0,0.0,0.0,8.232,9.867,23.783,24.732,26.725,26.432,26.448,26.768,26.956,25.952,24.825,25.357,26.166,24.433
E,19.102,15.988,17.711,20.67,36.129,0.0,0.0,0.0,0.0,0.0,0.0,9.306,6.176,13.121,24.925,26.751,25.637,26.302,26.955,25.915,24.856,24.825,24.991,24.433
F,10.392,14.677,20.389,22.002,27.599,9.705,0.0,0.0,0.0,0.0,1.393,8.205,6.315,8.748,22.865,26.479,26.163,25.601,25.937,25.658,25.468,24.768,24.705,24.355
G,1.121,10.831,13.854,8.089,9.047,11.218,11.083,0.0,0.0,0.0,33.684,20.264,15.858,11.828,23.773,25.669,26.196,25.167,25.937,26.479,25.601,24.959,24.066,23.093
H,16.402,7.608,0.0,0.0,8.71,1.843,0.0,1.273,0.0,0.0,33.333,24.493,24.209,23.175,25.091,26.257,24.802,24.802,25.764,25.729,26.745,25.98,23.66,22.781
I,5.692,0.0,0.0,0.0,0.0,3.153,0.0,0.0,0.0,0.0,28.382,23.958,24.623,25.508,26.251,26.486,24.732,25.782,25.334,24.863,20.342,17.054,30.059,2.655
J,8.906,8.369,0.0,0.0,0.0,0.0,0.0,0.0,12.232,0.0,1.17,16.623,15.61,15.907,15.147,14.583,15.27,13.66,11.665,3.981,1.156,28.099,8.299,0.0
K,2.083,0.0,4.08,6.767,0.0,0.0,0.0,38.182,21.894,35.2,0.0,3.438,5.286,6.196,8.182,9.363,4.492,2.868,6.894,4.255,10.686,0.0,0.0,0.0
L,6.973,0.0,0.0,10.28,7.34,18.775,29.159,8.225,7.003,18.184,20.567,9.557,4.012,0.0,0.6,1.895,1.8,10.66,14.046,5.809,1.278,0.0,0.0,20.879
M,22.733,16.332,19.866,23.743,13.747,11.712,11.798,9.904,14.311,0.0,3.256,0.621,0.0,0.0,4.558,9.54,13.983,12.749,8.309,0.0,0.0,1.835,1.744,0.0
N,19.278,4.228,1.154,0.0,5.732,11.621,13.704,6.186,10.57,0.0,0.0,2.487,0.0,0.0,0.0,2.478,0.56,0.0,0.0,0.0,3.855,6.622,0.0,0.0
O,0.0,0.0,0.0,0.0,0.0,0.55,11.495,4.414,0.0,4.395,0.0,0.0,9.566,11.377,11.126,7.878,5.037,0.0,0.0,2.927,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,2.294,1.154,0.0,0.0,3.467,0.0,0.0,0.0,4.044,10.79,18.64,16.543,0.0,0.0,0.0,9.892,13.194,11.931
